Set size, average runtime in nanoseconds
100,43197.0
200,32042.0
300,23403.0
400,26709.0
500,16427.0
600,19311.0
700,21461.0
800,23661.0
900,25743.0
1000,49295.0
1100,38453.0
1200,38365.0
1300,37371.0
1400,103492.0
1500,60741.0
1600,46634.0
1700,51501.0
1800,51178.0
1900,54398.0
2000,58609.0
2100,92521.0
2200,81088.0
2300,80705.0
2400,77158.0
2500,79436.0
2600,84674.0
2700,85962.0
2800,89875.0
2900,93233.0
3000,94884.0
3100,99708.0
3200,95715.0
3300,94962.0
3400,99042.0
3500,100073.0
3600,104595.0
3700,109087.0
3800,109124.0
3900,112598.0
4000,116442.0
4100,125202.0
4200,120767.0
4300,123663.0
4400,129059.0
4500,130955.0
4600,143544.0
4700,135339.0
4800,139794.0
4900,143856.0
5000,145425.0
5100,156793.0
5200,159410.0
5300,157401.0
5400,202046.0
5500,161924.0
5600,166805.0
5700,163642.0
5800,169640.0
5900,172088.0
6000,176336.0
6100,190420.0
6200,195520.0
6300,187662.0
6400,188754.0
6500,196435.0
6600,203595.0
6700,195897.0
6800,199258.0
6900,203392.0
7000,208164.0
7100,218054.0
7200,220870.0
7300,220268.0
7400,227870.0
7500,229638.0
7600,224660.0
7700,230640.0
7800,233490.0
7900,248227.0
8000,238153.0
8100,254956.0
8200,252054.0
8300,248356.0
8400,265355.0
8500,255950.0
8600,266736.0
8700,263402.0
8800,265386.0
8900,275807.0
9000,273535.0
9100,291351.0
9200,288688.0
9300,292146.0
9400,297626.0
9500,291325.0
9600,321519.0
9700,305899.0
9800,316007.0
9900,326962.0
10000,358825.0
